description;icao;iata;latitude_deg;longitude_deg
K. D. Matanzima Airport;FAUT;UTT;-31.546.363.184.900.000;286.733.551.025
Vryburg Airport;FAVB;VRU;-269.824.008.942;247.287.998.199
Virginia Airport;FAVG;VIR;-29.770.599.365.234.300;31.058.399.200.439.400
Vredendal Airport;FAVR;VRE;-31.641.000.747.680.600;185.447.998.046.875
Vryheid Airport;FAVY;VYD;-2.778.689.956.665.030;3.079.640.007.019.040
Wonderboom Airport;FAWB;PRY;-256.539;28.224.199
Waterkloof Air Force Base;FAWK;WKF;-25.829.999.923.699.900;28.222.499.847.399.900
Francistown Airport;FBFT;FRW;-2.115.959.930.419.920;2.747.450.065.612.790
Ghanzi Airport;FBGZ;GNZ;-216.924.991.607.666;21.658.100.128.173.800
Jwaneng Airport;FBJW;JWA;-246.023.006.439.209;2.469.099.998.474.120
Kasane Airport;FBKE;BBK;-1.783.289.909.362.790;25.162.399.291.992.100
Khwai River Lodge Airport;FBKR;KHW;-19.149.999.618.530.200;23.783.000.946.044.900
Lobatse Airport;FBLO;LOQ;-251.981;257.139
Maun Airport;FBMN;MUB;-1.997.260.093.688.960;23.431.100.845.336.900
Orapa Airport;FBOR;ORP;-21.266.700.744.628.900;25.316.699.981.689.400
Palapye Airport;FBPY;QPH;-22.566.999.435.424.800;27.149.999.618.530.200
Sir Seretse Khama International Airport;FBSK;GBE;-24.555.200.576.782.200;2.591.819.953.918.450
Sua Pan Airport;FBSN;SXN;-205.534;26.115.801
Selebi Phikwe Airport;FBSP;PKW;-220.583;278.288
Savuti Airport;FBSV;SVT;-18.520.599.365.234;24.076.700.210.571
Shakawe Airport;FBSW;SWX;-18.373.899.459.838.800;21.832.599.639.892.500
Limpopo Valley Airport;FBTL;TLD;-22.189.199.447.599.900;29.126.899.719.199.900
Tshabong Airport;FBTS;TBY;-26.033.300.399.780.200;22.399.999.618.530.200
Maya-Maya Airport;FCBB;BZV;-4.251.699.924.468.990;15.253.000.259.399.400
Djambala Airport;FCBD;DJM;-25.329.999.923.706.000;14.75
Kindamba Airport;FCBK;KNJ;-3.950.000.047.683.710;14.517.000.198.364.200
Lague Airport;FCBL;LCO;-2.450.000.047.683.710;14.532.999.992.370.600
Mouyondzi Airport;FCBM;MUY;-401.487.398.147.583;1.396.611.213.684.080
Sibiti Airport;FCBS;SIB;-3.683.000.087.738.030;13.350.000.381.469.700
Yokangassi Airport;FCBY;NKY;-4.223.077;13.286.347
Zanaga Airport;FCBZ;ANJ;-28.499.999.046.325.600;13.817.000.389.099.100
Mossendjo Airport;FCMM;MSX;-2.950.000.047.683.710;12.699.999.809.265.100
Boundji Airport;FCOB;BOE;-10.329.999.923.706.000;15.383.000.373.840.300
Denis Sassou Nguesso International Airport;FCOD;OLL;-1.226.666;15.91
Ewo Airport;FCOE;EWO;-0.8830000162124634;14.800.000.190.734.800
Gamboma Airport;FCOG;GMM;-1.829.403;15.885.237
Impfondo Airport;FCOI;ION;16.169.999.837.875.300;18.066.999.435.424.800
Kelle Airport;FCOK;KEE;-0.08299999684095383;14.532.999.992.370.600
Makoua Airport;FCOM;MKJ;-0.017000000923871994;15.583.000.183.105.400
Owando Airport;FCOO;FTX;-0.5313500165939331;1.595.009.994.506.830
Souanke Airport;FCOS;SOE;2.066.999.912.261.960;14.133.000.373.840.300
Betou Airport;FCOT;BTB;3.049.999.952.316.280;18.5
Ouesso Airport;FCOU;OUE;16.159.900.426.899.900;160.379.009.247
Makabana Airport;FCPA;KMK;-34.830.000.400.543.200;12.616.999.626.159.600
Ngot Nzoungou Airport;FCPL;DIS;-420.635;126.599
Pointe Noire Airport;FCPP;PNR;-4.816.030.025.482.170;1.188.659.954.071.040
Matsapha Airport;FDMS;MTS;-2.652.899.932.861.320;313.075.008.392.334
King Mswati III International Airport;FDSK;SHO;-26.358.611;31.716.944
Fetlar Airport;FEA;FEA;606.033.333.333;-0.872777777778
Carnot Airport;FEFC;CRF;4.936.999.797.821.040;15.894.000.053.405.700
Bangui M'Poko International Airport;FEFF;BGF;439.847.993.850.708;18.518.800.735.473.600
Bangassou Airport;FEFG;BGU;4.784.999.847.412.100;227.810.001.373.291
Birao Airport;FEFI;IRO;1.023.639.965.057.370;22.716.899.871.826.100
Bossembélé Airport;FEFL;BEM;5.267.000.198.364.250;17.632.999.420.166.000
Bambari Airport;FEFM;BBY;5.846.940.040.588.370;20.647.499.084.472.600
N'Délé Airport;FEFN;NDL;8.427.206.039.428.710;20.635.156.631.469.700
Bouar Airport;FEFO;BOP;5.958.000.183.105.460;1.563.700.008.392.330
Bria Airport;FEFR;BIV;6.527.780.055.999.750;2.198.940.086.364.740
Bossangoa Airport;FEFS;BSN;6.492.000.102.996.820;17.429.000.854.492.100
Berbérati Airport;FEFT;BBT;42.215.800.285.339.300;15.786.399.841.308.500
Ouadda Airport;FEFW;ODA;8.010.560.035.705.560;2.239.859.962.463.370
Yalinga Airport;FEFY;AIG;6.519.999.980.926.510;23.260.000.228.881.800
Zemio Airport;FEFZ;IMO;5.050.000.190.734.860;25.149.999.618.530.200
M'Boki Airport;FEGE;MKI;533.301.019.669;25.931.900.024.399.900
Batangafo Airport;FEGF;BTG;7.314.109.802.246.090;18.308.799.743.652.300
Gordil Airport;FEGL;GDI;9.583.000.183.105.460;21.732.999.801.635.700
Bakouma Airport;FEGM;BMF;5.693.999.767.303.460;22.801.000.595.092.700
Ouanda Djallé Airport;FEGO;ODJ;8.899.999.618.530.270;22.783.000.946.044.900
Rafaï Airport;FEGR;RFA;4.988.609.790.802.000;23.927.799.224.853.500
Bouca Airport;FEGU;BCF;6.517.000.198.364.250;18.267.000.198.364.200
Bozoum Airport;FEGZ;BOZ;6.344.170.093.536.370;163.218.994.140.625
Francis E Warren Air Force Base;FEW;FEW;411.333.007.812;-104.866.996.765
Annobón Airport;FGAB;NBN;-1.410.277;5.621.944
Bata Airport;FGBT;BSG;19.054.700.136.184.600;9.805.680.274.963.370
President Obiang Nguema International Airport;FGMY;GEM;1.685.334;11.024.394
Malabo Airport;FGSL;SSG;3.755.270.004.272.460;8.708.720.207.214.350
RAF Ascension Island;FHAW;ASI;-79.696;-143.937
St. Helena Airport;FHSH;HLE;-15.957.725;-5.645.943
Sir Seewoosagur Ramgoolam International Airport;FIMP;MRU;-20.430.200.576.782.200;5.768.360.137.939.450
Sir Charles Gaetan Duval Airport;FIMR;RRG;-19.757.699.966.430.600;63.361.000.061.035.100
Finschhafen Airport;FIN;FIN;-6.621.750.109;14.785.405
Diego Garcia Naval Support Facility;FJDG;NKW;-731.327;72.411.102
Nkongsamba Airport;FKAN;NKS;49.499.998.092.699.900;9.932.999.610.899.990
Kribi Airport;FKKB;KBI;28.738.899.231;99.777.803.421
Tiko Airport;FKKC;TKC;408.919.000.626;9.360.529.899.600.000
Douala International Airport;FKKD;DLA;40.060.801.506;9.719.479.560.849.990
Mamfe Airport;FKKF;MMF;5.704.170.227.050.780;9.306.389.808.654.780
Bali Airport;FKKG;BLC;589.527.777.778;100.338.888.889
Kaélé Airport;FKKH;KLE;10.092.499.732.971.100;14.445.599.555.969.200
Batouri Airport;FKKI;OUR;4.474.999.904.632.560;14.362.500.190.734.800
Yagoua Airport;FKKJ;GXX;10.356.100.082.397.400;15.237.199.783.325.100
Salak Airport;FKKL;MVR;10.451.399.803.161.600;14.257.399.559.020.900
Foumban Nkounja Airport;FKKM;FOM;5.636.919.975.280.760;10.750.800.132.751.400
N'Gaoundéré Airport;FKKN;NGE;73.570.098.876.953.100;13.559.200.286.865.200
Bertoua Airport;FKKO;BTA;4.548.610.210.418.700;13.726.099.967.956.500
Garoua International Airport;FKKR;GOU;933.588.981.628.418;13.370.100.021.362.300
Dschang Airport;FKKS;DSC;5.449.999.809.265.130;10.067.000.389.099.100
Bafoussam Airport;FKKU;BFX;5.536.920.070.650.000;10.354.599.952.700.000
Bamenda Airport;FKKV;BPC;6.039.239.883.422.850;10.122.599.601.745.600
Ebolowa Airport;FKKW;EBW;2.875.999.927.520.750;111.850.004.196.167
Yaoundé Airport;FKKY;YAO;38.360.400.199.890.100;11.523.500.442.504.800
Yaoundé Nsimalen International Airport;FKYS;NSI;3.722.559.928.894.040;11.553.299.903.869.600
Mbala Airport;FLBA;MMQ;-8.859.169.960.021.970;3.133.639.907.836.910
Chipata Airport;FLCP;CIP;-13.558.300.018.310.500;3.258.720.016.479.490
Fort Lee Army Airfield;FLE;FLE;37.284;-773.448
Jeki Airport;FLJK;JEK;-156.334;296.036
Kasompe Airport;FLKE;CGJ;-12.572.799.682.617;27.893.899.917.603
Kalabo Airport;FLKL;KLB;-14.998.299.598.693.800;2.264.539.909.362.790
Kaoma Airport;FLKO;KMZ;-14.800.000.190.734.800;24.783.000.946.044.900
Kasama Airport;FLKS;KAA;-10.216.699.600.219.700;3.113.330.078.125
Kasaba Bay Airport;FLKY;ZKB;-8.524.999.618.530.270;30.663.000.106.811.500
Livingstone Airport;FLLI;LVI;-17.821.800.231.933.500;2.582.270.050.048.820
Lukulu Airport;FLLK;LXU;-14.374.799.728.393.500;23.249.500.274.658.200
Kenneth Kaunda International Airport Lusaka;FLLS;LUN;-153.308.000.565;284.526.004.791
Mansa Airport;FLMA;MNS;-1.113.700.008.392.330;28.872.600.555.419.900
Mfuwe Airport;FLMF;MFU;-13.258.899.688.720.700;31.936.599.731.445.300
Mongu Airport;FLMG;MNR;-15.254.500.389.099.100;2.316.230.010.986.320
Ngoma Airport;FLNA;ZGM;-15.965.800.285.339.300;25.933.300.018.310.500
Simon Mwansa Kapwepwe International Airport;FLND;NLA;-12.998.100.280.762;2.866.489.982.605
Senanga Airport;FLSN;SXG;-16.113;232.982
Southdowns Airport;FLSO;KIW;-12.900.500.297.546.300;28.149.900.436.401.300
Sesheke Airport;FLSS;SJQ;-17.476.299.285.888.600;2.430.470.085.144.040
Solwesi Airport;FLSW;SLI;-12.173.700.332.641.600;26.365.100.860.595.700
Flat Airport;FLT;FLT;62.452.598.571.799.900;-157.988.998.413
Zambezi Airport;FLZB;BBZ;-13.537.018;23.108.092
Ulithi Airport;FM-ULI;ULI;100.198;139.789.993
Prince Said Ibrahim International Airport;FMCH;HAH;-115.337;432.719
Mohéli Bandar Es Eslam Airport;FMCI;NWA;-12.298.100.471.496.500;4.376.639.938.354.490
Iconi Airport;FMCN;YVA;-11.710.800.170.899.900;432.439.002.991
Ouani Airport;FMCV;AJN;-12.131.699.562.072.700;44.430.301.666.259.700
Dzaoudzi Pamandzi International Airport;FMCZ;DZA;-12.804.699.897.766.100;4.528.110.122.680.660
Roland Garros Airport;FMEE;RUN;-20.887.100.219.726.500;5.551.029.968.261.710
Pierrefonds Airport;FMEP;ZSE;-21.320.899.963.378.900;5.542.499.923.706.050
Malaimbandy Airport;FMMC;WML;-20.355.390.292.099.900;455.433.726.311
Antsirabe Airport;FMME;ATJ;-198.392.214.824;47.063.713.073.699.900
Antsalova Airport;FMMG;WAQ;-187.012.732.424;44.614.920.616.099.900
Mahanoro Airport;FMMH;VVB;-1.983.300.018.310.540;4.879.999.923.706.050
Ivato Airport;FMMI;TNR;-187.968.997.955;474.788.017.273
Ankavandra Airport;FMMK;JVA;-188.050.095.209;452.734.673.023
Belo sur Tsiribihina Airport;FMML;BMD;-196.867.008.209;44.541.900.634.799.900
Miandrivazo Airport;FMMN;ZVA;-1.956.279.945.373.530;45.450.801.849.365.200
Maintirano Airport;FMMO;MXT;-18.049.999.237.060.500;4.403.300.094.604.490
Atsinanana Airport;FMMQ;ILK;-1.958.300.018.310.540;48.803.001.403.808.500
Morafenobe Airport;FMMR;TVA;-17.850.083.459;44.920.467.138.300.000
Sainte Marie Airport;FMMS;SMS;-17.093.900.680.541.900;49.815.799.713.134.700
Toamasina Airport;FMMT;TMM;-18.109.500.885.009.700;4.939.250.183.105.460
Tambohorano Airport;FMMU;WTA;-1.747.610.092.163.080;43.972.801.208.496.000
Morondava Airport;FMMV;MOQ;-20.284.700.393.676.700;4.431.760.025.024.410
Tsiroanomandidy Airport;FMMX;WTS;-18.759.676.556.400.000;460.540.652.275
Vatomandry Airport;FMMY;VAT;-19.383.333;48.95
Ambatondrazaka Airport;FMMZ;WAM;-177.953.776.085;484.425.830.841
Arrachart Airport;FMNA;DIE;-1.234.939.956.665.030;4.929.169.845.581.050
Mananara Nord Airport;FMNC;WMR;-1.616.390.037.536.620;49.773.799.896.240.200
Andapa Airport;FMND;ZWA;-14.651.700.019.836.400;49.620.601.654.052.700
Ambilobe Airport;FMNE;AMB;-13.188.400.268.554.600;48.987.998.962.402.300
Avaratra Airport;FMNF;WBD;-15.199.999.809.265.100;48.483.001.708.984.300
Port Bergé Airport;FMNG;WPB;-15.584.286.474.099.900;476.235.866.547
Antsirabato Airport;FMNH;ANM;-1.499.940.013.885.490;503.202.018.737.793
Analalava Airport;FMNL;HVA;-1.462.969.970.703.120;4.776.380.157.470.700
Amborovy Airport;FMNM;MJN;-156.668.417.421;46.351.232.528.699.900
Fascene Airport;FMNN;NOS;-133.121.004.105;483.148.002.625
Soalala Airport;FMNO;DWB;-161.016.904.207;45.358.836.650.799.900
Mampikony Airport;FMNP;WMP;-160.722.693.402;47.644.164.562.200.000
Besalampy Airport;FMNQ;BPY;-16.744.530.296.500.000;444.824.838.638
Maroantsetra Airport;FMNR;WMN;-15.436.699.867.248.500;4.968.830.108.642.570
Sambava Airport;FMNS;SVB;-14.278.599.739.074.700;5.017.470.169.067.380
Tsaratanana Airport;FMNT;TTS;-167.510.643.983;476.190.161.705
Vohimarina Airport;FMNV;VOH;-13.375.800.132.751.400;5.000.279.998.779.290
Ambalabe Airport;FMNW;WAI;-14.898.799.896.240.200;47.993.900.299.072.200
Mandritsara Airport;FMNX;WMA;-158.330.494.086;488.332.843.781
Ampampamena Airport;FMNZ;IVA;-13.484.816;48.632.702
Antsoa Airport;FMSB;WBO;-21.606.983.764.699.900;45.136.020.183.599.900
Mandabe Airport;FMSC;WMD;-210.463.049.303;449.404.120.445
Tôlanaro Airport;FMSD;FTU;-2.503.809.928.894.040;4.695.610.046.386.710
Fianarantsoa Airport;FMSF;WFI;-21.441.600.799.560.500;47.111.698.150.634.700
Farafangana Airport;FMSG;RVA;-22.805.299.758.911.100;4.782.059.860.229.490
Ihosy Airport;FMSI;IHO;-22.404.720.202.399.900;461.649.370.193
Manja Airport;FMSJ;MJA;-214.261.052.506;4.431.650.877
Manakara Airport;FMSK;WVK;-22.119.699.478.149.400;4.802.170.181.274.410
Bekily Airport;FMSL;OVA;-24.235.694.754.699.900;453.045.272.827
Mananjary Airport;FMSM;MNJ;-21.201.799.392.700.100;48.358.299.255.371.000
Samangoky Airport;FMSN;TDV;-21.700.000.762.939.400;43.733.001.708.984.300
Morombe Airport;FMSR;MXM;-217.539.005.279.541;433.754.997.253.418
Toliara Airport;FMST;TLE;-23.383.399.963.378.900;4.372.850.036.621.090
Vangaindrano Airport;FMSU;VND;-23.350.766.591.499.900;47.581.701.278.699.900
Betioky Airport;FMSV;BKU;-23.732.999.801.635.700;44.388.999.938.964.800
Ampanihy Airport;FMSY;AMP;-2.469.969.940.185.540;4.473.419.952.392.570
Ankazoabo Airport;FMSZ;WAK;-222.964.423.522;445.315.361.023
Ambriz Airport;FNAM;AZZ;-786.221.981.048.584;13.116.100.311.279.200
Mbanza Congo Airport;FNBC;SSY;-6.269.899.845.123.290;14.246.999.740.600.500
Benguela Airport;FNBG;BUG;-12.609.000.206;134.036.998.749
Lumbala Airport;FNBL;GGC;-14.105.106;2.145.083
Cabinda Airport;FNCA;CAB;-559.699.010.848.999;12.188.400.268.554.600
Cafunfo Airport;FNCF;CFF;-8.783.610.343.933.100;17.989.700.317.382.800
Chitato Airport;FNCH;PGI;-7.358.890.056.610.100;2.080.470.085.144.040
Catumbela Airport;FNCT;CBT;-124.792;134.869
Cuito Cuanavale Airport;FNCV;CTI;-15.160.300.254.821.700;19.156.099.319.458.000
Camaxilo Airport;FNCX;CXM;-837.360.954.284.668;18.923.599.243.164.000
Cazombo Airport;FNCZ;CAV;-11.893.099.784.851.000;22.916.400.909.423.800
Dundo Airport;FNDU;DUE;-7.400.889.873.504.630;20.818.500.518.798.800
Fane Airport;FNE;FNE;-854.927.777.778;147.085.833.333
Ngjiva Pereira Airport;FNGI;VPE;-170.435.009.003;15.683.799.743.700.000
Nova Lisboa Airport;FNHU;NOV;-12.808.899.879.455.500;15.760.499.954.223.600
Kuito Airport;FNKU;SVP;-12.404.600.143.433;16.947.399.139.404
Lucapa Airport;FNLK;LBZ;-8.445.727.348.330.000;207.320.861.816
Quatro de Fevereiro Airport;FNLU;LAD;-885.836.982.727;13.231.200.218.199.900
Luzamba Airport;FNLZ;LZM;-911.596.012.115;18.049.299.240.099.900
Malanje Airport;FNMA;MEG;-9.525.090.217.590.330;16.312.400.817.871.000
Menongue Airport;FNME;SPP;-14.657.600.402.832.000;1.771.980.094.909.660
Namibe Airport;FNMO;MSZ;-15.261.199.951.171.800;1.214.680.004.119.870
Negage Airport;FNNG;GXG;-7.754.509.925.842.280;15.287.699.699.401.800
Porto Amboim Airport;FNPA;PBN;-10.722.000.122.070.300;1.376.550.006.866.450
Saurimo Airport;FNSA;VHC;-9.689.069.747.924.800;20.431.900.024.414.000
Soyo Airport;FNSO;SZA;-6.141.089.916.229.240;12.371.800.422.668.400
Sumbe Airport;FNSU;NDD;-11.167.900.085.449.200;1.384.749.984.741.210
Luau Airport;FNUA;UAL;-10.715.800.285.339.300;2.223.110.008.239.740
Lubango Airport;FNUB;SDD;-14.924.699.783.325.100;13.574.999.809.265.100
Luena Airport;FNUE;LUO;-11.768.099.784.851.000;198.976.993.560.791
Uige Airport;FNUG;UGO;-760.306.978.225.708;15.027.799.606.323.200
Waco Kungo Airport;FNWK;CEO;-11.426.400.184.631.300;15.101.400.375.366.200
Xangongo Airport;FNXA;XGN;-16.755.399.703.979.400;14.965.299.606.323.200
N'zeto Airport;FNZE;ARZ;-7.259.439.945.220.940;12.863.100.051.879.800
Nzagi Airport;FNZG;NZA;-7.716.939.926.149.990;21.358.200.073.200.000
Booue Airport;FOGB;BGB;-0.1075;119.438
Ndende Airport;FOGE;KDN;-24.000.000.953.674.300;11.366.999.626.159.600
Fougamou Airport;FOGF;FOU;-12.829.999.923.706.000;10.616.999.626.159.600
M'Bigou Airport;FOGG;MBC;-18.830.000.162.124.600;11.932.999.610.900.800
Moabi Airport;FOGI;MGX;-2.433.000.087.738.030;11
Ville Airport;FOGJ;KDJ;-0.18299999833106995;10.75
Koulamoutou Mabimbi Airport;FOGK;KOU;-11.846.100.091.934;12.441.300.392.151
Mouilla Ville Airport;FOGM;MJL;-1.845.139.980.316.160;11.056.699.752.807.600
Oyem Airport;FOGO;OYE;15.431.100.130.081.100;11.581.399.917.602.500
Okondja Airport;FOGQ;OKN;-0.6652140021324158;13.673.100.471.496.500
Lambarene Airport;FOGR;LBQ;-0.7043889760971069;10.245.699.882.507.300
Minvoul Airport;FOGV;MVX;21.500.000.953.674.300;12.133.000.373.840.300
Bitam Airport;FOOB;BMM;20.756.399.631.500.200;11.493.200.302.124.000
Moanda Airport;FOOD;MFF;-153.299.999.237;132.670.001.984
Mekambo Airport;FOOE;MKB;10.169.999.599.456.700;13.932.999.610.900.800
Port Gentil Airport;FOOG;POG;-0.7117390036582947;8.754.380.226.135.250
Omboue Hopital Airport;FOOH;OMB;-15.747.300.386.428.800;9.262.689.590.454.100
Tchongorove Airport;FOOI;IGE;-19.223;93.092
Makokou Airport;FOOK;MKU;0.5792109966278076;12.890.899.658.203.100
Libreville Leon M'ba International Airport;FOOL;LBV;0.458600014448;9.412.280.082.699.990
Mitzic Airport;FOOM;MZC;0.7829999923706055;11.550.000.190.734.800
M'Vengue El Hadj Omar Bongo Ondimba International Airport;FOON;MVB;-16.561.599.969.863.800;13.437.999.725.341.700
Lastourville Airport;FOOR;LTL;-0.8266670107841492;12.748.600.006.103.500
Sette Cama Airport;FOOS;ZKM;-25.329.999.923.706.000;9.767.000.198.364.250
Tchibanga Airport;FOOT;TCH;-28.499.999.046.325.600;11.017.000.198.364.200
Mayumba Airport;FOOY;MYB;-34.584.197.998.046.800;10.674.076.080.322.200
Foya Airport;FOY;FOY;83.513;-102.269
Principe Airport;FPPR;PCP;16.629.400.253.295.800;7.411.739.826.202.390
São Tomé International Airport;FPST;TMS;0.3781749904155731;67.121.500.968.933.100
Angoche Airport;FQAG;ANO;-16.181.869.506.835.900;3.994.521.713.256.830
Beira Airport;FQBR;BEW;-1.979.640.007.019.040;3.490.760.040.283.200
Cuamba Airport;FQCB;FXO;-14.815;36.529.999
Chimoio Airport;FQCH;VPY;-1.915.130.043.029.780;3.342.900.085.449.210
Inhaca Airport;FQIA;IHC;-259.971.446.991;32.929.351.806.599.900
Inhambane Airport;FQIN;INH;-23.876.399.993.896.400;3.540.850.067.138.670
Lichinga Airport;FQLC;VXC;-1.327.400.016.784.660;35.266.300.201.416.000
Lumbo Airport;FQLU;LFB;-150.331.001.282;40.671.699.523.899.900
Maputo Airport;FQMA;MPM;-25.920.799.255.371.000;32.572.601.318.359.300
Mueda Airport;FQMD;MUD;-11.672.900.199.890.100;395.630.989.074.707
Mocímboa da Praia Airport;FQMP;MZB;-11.361.800.193.786.600;4.035.490.036.010.740
Nacala Airport;FQNC;MNC;-14.488.200.187.683.100;4.071.220.016.479.490
Nampula Airport;FQNP;APL;-15.105.600.357.055.600;3.928.179.931.640.620
Pemba Airport;FQPB;POL;-12.991.762.161.254.800;4.052.401.351.928.710
Ponta do Ouro Airport;FQPO;PDD;-26.828.552.246.094;32.837.707.519.531
Quelimane Airport;FQQL;UEL;-17.855.499.267.578.100;3.686.909.866.333.000
Chingozi Airport;FQTT;TET;-16.104.799.270.629.800;33.640.201.568.603.500
Vilankulo Airport;FQVL;VNX;-22.018.400.192.260.700;3.531.330.108.642.570
Xai-Xai Airport;FQXA;VJB;-25.037.799.835.205.000;3.362.739.944.458.000
Brive Souillac Airport;FR-0321;BVE;45.039.722;1.485.556
Croisette Heliport;FR-JCA;JCA;435.359.992.980.957;7.037.360.191.345.210
Desroches Airport;FSDR;DES;-56.967;536.558
Seychelles International Airport;FSIA;SEZ;-4.674.339.771.270.750;5.552.180.099.487.300
Fossil Downs Airport;FSL;FSL;-181.321;1.257.873
Haley Army Airfield;FSN;FSN;42.221;-87.817
Praslin Airport;FSPP;PRI;-43.192.901.611.328.100;5.569.139.862.060.540
Bird Island Airport;FSSB;BDI;-372.472;55.205.299
Denis Island Airport;FSSD;DEI;-380.222;55.666.901
Frégate Island Airport;FSSF;FRK;-4.583;55.950.001
Sarh Airport;FTTA;SRH;9.144.439.697.265.620;18.374.399.185.180.600
Bongor Airport;FTTB;OGR;10.288.100.242.614.700;15.381.099.700.927.700
Abeche Airport;FTTC;AEH;13.847.000.122.070.300;2.084.429.931.640.620
Moundou Airport;FTTD;MQQ;8.624.409.675.598.140;16.071.399.688.720.700
Lai Airport;FTTH;LTC;93.979;163.125
Ati Airport;FTTI;ATV;13.238.900.184.631.300;1.831.329.917.907.710
N'Djamena International Airport;FTTJ;NDJ;12.133.700.370.788.500;15.034.000.396.728.500
Bokoro Airport;FTTK;BKR;12.383.000.373.840.300;17.066.999.435.424.800
Bol Airport;FTTL;OTC;13.443.300.247.192.300;14.739.399.909.973.100
Mongo Airport;FTTM;MVO;12.166.999.816.894.500;18.674.999.237.060.500
Am Timan Airport;FTTN;AMC;110.340.003.967;20.274.000.167.799.900
Pala Airport;FTTP;PLF;9.378.060.340.881.340;14.925.000.190.734.800
Bousso Airport;FTTS;OUT;10.482.999.801.635.700;16.716.999.053.955.000
Mao Airport;FTTU;AMO;14.145.600.318.908.600;15.314.399.719.238.200
Faya Largeau Airport;FTTY;FYT;1.791.710.090.637.200;19.111.099.243.164.000
Fulleborn Airport;FUB;FUB;-61.518;1.506.264
Bumi Airport;FVBM;BZH;-168.169.994.354;283.500.003.815
Joshua Mqabuko Nkomo International Airport;FVBU;BUQ;-2.001.740.074.157.710;28.617.900.848.388.600
Chipinge Airport;FVCH;CHJ;-2.020.669.937.133.780;32.628.299.713.134.700
Buffalo Range Airport;FVCZ;BFO;-21.008.100.509.643.500;3.157.859.992.980.950
Victoria Falls International Airport;FVFA;VFA;-1.809.589.958.190.910;25.839.000.701.904.200
Harare International Airport;FVHA;HRE;-17.931.800.842.285.100;3.109.280.014.038.080
Kariba International Airport;FVKB;KAB;-16.519.800.186.157.200;28.885.000.228.881.800
Mahenye Airport;FVMH;MJW;-21.231;323.336
Mutare Airport;FVMU;UTA;-18.997.499.465.942;32.627.201.080.322
Masvingo International Airport;FVMV;MVZ;-20.055.299.758.911.100;30.859.100.341.796.800
Thornhill Air Base;FVTL;GWE;-19.436.399.459.838.800;29.861.900.329.589.800
Hwange National Park Airport;FVWN;HWN;-18.629.899.978.637.600;27.020.999.908.447.200
Hwange Airport;FVWT;WKI;-18.362.499.237.060.500;26.516.700.744.628.900
Chelinda Malawi Airport;FWCD;CEH;-105.500.001.907;33.799.999.237.099.900
Chileka International Airport;FWCL;BLZ;-15.679.100.036.621.000;349.739.990.234.375
Club Makokola Airport;FWCM;CMK;-14.306.900.024.414.000;3.513.249.969.482.420
Dwangwa Airport;FWDW;DWA;-1.251.830.005.645.750;34.131.900.787.353.500
Karonga Airport;FWKA;KGJ;-9.953.570.365.905.760;33.893.001.556.396.400
Kasungu Airport;FWKG;KBQ;-13.014.599.800.109.800;3.346.860.122.680.660
Lilongwe International Airport;FWKI;LLW;-137.894.001.007;3.378.099.823
Likoma Island Airport;FWLK;LIX;-12.083.000.183.105.400;34.733.001.708.984.300
Mangochi Airport;FWMG;MAI;-14.482.999.801.635.700;35.266.998.291.015.600
Monkey Bay Airport;FWMY;MYZ;-14.083.600.044.299.900;349.197.006.226
Salima Airport;FWSM;LMB;-13.755.892.702.500.000;345.841.884.613
Mzuzu Airport;FWUU;ZZU;-11.444.700.241.088.800;3.401.179.885.864.250
Lebakeng Airport;FXLK;LEF;-2.989.080.047.607.420;2.865.559.959.411.620
Leribe Airport;FXLR;LRB;-28.855.600.357.055.600;28.052.799.224.853.500
Lesobeng Airport;FXLS;LES;-29.782.899.856.567.300;28.316.699.981.689.400
Flaxman Island Airstrip;FXM;FXM;701.895;-1.460.209
Mafeteng Airport;FXMF;MFC;-2.980.109.977.722.160;27.243.600.845.336.900
Mokhotlong Airport;FXMK;MKH;-2.928.179.931.640.620;29.072.799.682.617.100
Moshoeshoe I International Airport;FXMM;MSU;-29.462.299.346.923.800;27.552.499.771.118.100
Nkaus Airport;FXNK;NKU;-30.021.699.905.396;28.196.899.414.062
Pelaneng Airport;FXPG;PEL;-291.205.997.467.041;28.505.300.521.850.500
Quthing Airport;FXQG;UTG;-30.407.499.313.354.400;27.693.300.247.192.300
Qacha's Nek Airport;FXQN;UNE;-301.117.000.579.834;28.671.899.795.532.200
Sehonghong Airport;FXSH;SHK;-29.730.899.810.791.000;2.876.889.991.760.250
Sekakes Airport;FXSK;SKQ;-3.003.890.037.536.620;2.837.030.029.296.870
Semonkong Airport;FXSM;SOK;-29.838.600.158.691.400;28.059.999.465.942.300
Seshutes Airport;FXSS;SHZ;-2.926.759.910.583.490;2.855.229.949.951.170
Thaba-Tseka Airport;FXTA;THB;-2.952.280.044.555.660;28.615.800.857.543.900
Tlokoeng Airport;FXTK;TKO;-29.232.999.801.635.700;28.882.999.420.166.000
Ai-Ais Airport;FYAA;AIW;-27.995;175.966
Arandis Airport;FYAR;ADI;-22.462.200.164.794.900;14.979.999.542.236.300
Gobabis Airport;FYGB;GOG;-225.044.002.532.959;18.973.100.662.231.400
Grootfontein Airport;FYGF;GFY;-1.960.219.955.444.330;18.122.699.737.548.800
Halali Airport;FYHI;HAL;-190.285;164.585
